"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2010,1,"9E","Pinnacle Airlines Inc.","BOS","Boston, MA: Logan International",87.00,16.00,1.97,0.84,9.19,0.00,4.01,2.00,1.00,1115.00,295.00,78.00,582.00,0.00,160.00,
2010,1,"AA","American Airlines Inc.","BOS","Boston, MA: Logan International",942.00,236.00,72.95,13.76,100.25,0.71,48.33,29.00,1.00,13852.00,5325.00,561.00,4350.00,34.00,3582.00,
2010,1,"AS","Alaska Airlines Inc.","BOS","Boston, MA: Logan International",55.00,13.00,0.33,0.00,12.67,0.00,0.00,0.00,0.00,602.00,6.00,0.00,596.00,0.00,0.00,
2010,1,"B6","JetBlue Airways","BOS","Boston, MA: Logan International",1756.00,442.00,94.53,1.99,160.94,0.03,184.50,31.00,2.00,31094.00,6570.00,331.00,9116.00,2.00,15075.00,
2010,1,"CO","Continental Air Lines Inc.","BOS","Boston, MA: Logan International",325.00,76.00,28.14,1.00,34.99,4.49,7.38,4.00,0.00,3733.00,1100.00,80.00,1653.00,487.00,413.00,
2010,1,"DL","Delta Air Lines Inc.","BOS","Boston, MA: Logan International",1261.00,258.00,58.36,18.11,140.82,0.00,40.71,49.00,0.00,13501.00,3014.00,1832.00,5737.00,0.00,2918.00,
2010,1,"F9","Frontier Airlines Inc.","BOS","Boston, MA: Logan International",26.00,19.00,1.23,0.22,9.24,0.00,8.30,0.00,0.00,1357.00,54.00,15.00,826.00,0.00,462.00,
2010,1,"FL","AirTran Airways Corporation","BOS","Boston, MA: Logan International",544.00,133.00,36.46,0.12,67.28,0.00,29.13,7.00,2.00,6644.00,1461.00,4.00,3376.00,0.00,1803.00,
2010,1,"MQ","American Eagle Airlines Inc.","BOS","Boston, MA: Logan International",782.00,169.00,32.87,1.40,70.71,2.00,62.02,30.00,1.00,10894.00,2410.00,119.00,3532.00,450.00,4383.00,
2010,1,"OH","Comair Inc.","BOS","Boston, MA: Logan International",357.00,86.00,32.90,11.06,37.42,0.00,4.62,17.00,0.00,5200.00,1794.00,1021.00,1994.00,0.00,391.00,
